"ra" "dec" "zspec" "Vel" "flag" "r"
"114" 246.997029 41.408866 0.0304 9109.194 0 16.9502
"106" 246.303344 40.842079 0.0304 9111.292 0 15.1808
"426" 247.620004 39.626053 0.0304 9112.132 0 13.7748
"178" 247.56444 40.484486 0.0304 9116.569 0 16.852
"37" 246.887514 41.13851 0.0304 9117.828 0 16.69
"460" 248.387992 39.935433 0.0304 9118.517 0 17.1857
"177" 247.553636 41.360111 0.0304 9127.121 0 17.6998
"316" 247.438019 39.810542 0.0304 9128.441 0 14.6674
"209" 246.088067 40.487427 0.0305 9130.599 0 15.5457
"122" 246.279735 40.76608 0.0305 9132.758 0 16.869
"217" 247.424466 40.248209 0.0305 9133.027 0 15.2151
"436" 245.035373 40.887546 0.0305 9136.715 0 17.7829
"380" 247.205812 39.615767 0.0305 9139.083 0 15.2827
"427" 247.032206 39.523133 0.0305 9139.713 0 15.3917
"97" 247.392449 41.178654 0.0305 9142.201 0 17.38
"215" 247.709534 41.40255 0.0305 9144.479 0 16.0392
"464" 247.324328 39.459623 0.0305 9146.098 0 17.292
"22" 246.753304 40.810527 0.0305 9149.276 0 14.7376
"161" 247.517563 40.520557 0.0305 9150.385 0 16.3039
"99" 247.419919 40.686958 0.0305 9156.921 0 14.9081
"351" 247.764229 39.838464 0.0306 9161.508 0 13.9301
"124" 247.591629 40.924196 0.0306 9172.48 0 14.6566
"174" 246.25628 41.320429 0.0306 9176.317 0 16.2862
"190" 246.028087 40.744878 0.0306 9177.756 0 16.0895
"409" 247.904406 39.77697 0.0307 9195.774 0 17.895
"480" 248.718393 40.19479 0.0307 9196.583 0 14.4594
"38" 247.153459 41.064161 0.0307 9207.646 0 17.0424
"276" 245.551618 41.144525 0.0307 9209.504 0 16.4697
"83" 246.420598 41.028273 0.0308 9223.775 0 14.5499
"126" 247.594059 40.844104 0.0308 9226.203 0 17.7304
"403" 245.761808 41.955851 0.0308 9230.7 0 17.2891
"399" 247.160741 39.580024 0.0308 9232.379 0 16.3466
"199" 247.512944 41.493739 0.0308 9235.287 0 16.5059
"4" 246.81908 40.914569 0.0308 9235.496 0 16.1212
"156" 247.574042 40.598613 0.0308 9243.141 0 14.8624
"225" 247.459813 40.228404 0.0309 9253.844 0 17.6997
"470" 247.142446 39.418585 0.0309 9265.536 0 15.4388
"334" 247.129927 39.72797 0.0309 9265.895 0 15.1644
"32" 246.648808 40.893447 0.0309 9266.495 0 16.9112
"315" 247.549277 39.844275 0.0309 9272.281 0 16.8938
"462" 246.631415 39.447821 0.031 9278.876 0 16.2719
"408" 247.8303 39.744147 0.031 9280.615 0 14.531
"265" 245.724549 40.49638 0.031 9282.984 0 14.9476
"299" 246.668138 42.026792 0.031 9284.842 0 16.7774
"412" 246.94075 39.548739 0.031 9285.202 0 17.3105
"275" 246.695568 39.877592 0.031 9290.688 0 15.184
"223" 247.800586 40.486696 0.031 9290.958 0 14.9798
"309" 245.500797 40.44787 0.031 9298.213 0 14.3194
"450" 246.369725 39.522193 0.031 9299.592 0 16.2011
"132" 247.419412 40.545395 0.031 9307.866 0 17.4454
"387" 246.39146 39.650203 0.0311 9315.091 0 16.908
"232" 247.850207 41.379076 0.0311 9320.577 0 17.3855
"158" 247.682628 40.796509 0.0311 9327.533 0 15.8748
"241" 247.676025 40.233764 0.0311 9333.499 0 17.3351
"284" 246.267938 41.883737 0.0311 9335.567 0 16.1684
"313" 245.423217 40.591097 0.0312 9339.135 0 15.5844
"337" 247.869048 39.942814 0.0312 9345.73 0 16.6698
"324" 247.102807 39.741065 0.0312 9349.208 0 14.8814
"347" 247.238557 39.708285 0.0312 9349.567 0 15.0043
"400" 246.983331 39.568246 0.0312 9350.946 0 14.5635
"491" 246.504976 42.459349 0.0312 9356.493 0 16.7635
"368" 245.38003 41.503293 0.0313 9373.761 0 17.0886
"346" 247.155432 39.698914 0.0313 9374.51 0 14.9327
"247" 248.115049 40.772961 0.0313 9377.778 0 17.3912
"125" 247.40744 40.562547 0.0313 9378.048 0 17.6974
"478" 248.395434 41.971536 0.0313 9379.247 0 17.1869
"270" 245.742952 40.411141 0.0313 9393.577 0 15.4406
"3" 246.873381 40.965522 0.0314 9402.451 0 16.5406
"297" 247.698362 39.978342 0.0314 9413.033 0 15.6102
"259" 247.082338 39.959149 0.0314 9417.92 0 15.0833
"330" 248.501135 40.935305 0.0314 9424.216 0 17.7619
"273" 248.007728 40.265831 0.0314 9426.944 0 17.5353
"24" 247.137315 40.934896 0.0314 9427.573 0 17.7945
"374" 246.681599 39.618723 0.0315 9432.43 0 15.1824
"384" 246.365645 42.179855 0.0315 9432.91 0 16.8774
"326" 247.898595 39.987276 0.0315 9434.019 0 17.3828
"35" 246.653096 40.855766 0.0315 9440.794 0 17.0365
"283" 246.652723 39.858655 0.0315 9445.081 0 15.2953
"226" 247.456168 40.220782 0.0315 9445.381 0 15.2227
"440" 246.896722 39.483293 0.0315 9450.927 0 15.8674
"165" 247.558674 40.542755 0.0315 9453.026 0 16.1781
"340" 245.315104 40.746551 0.0315 9454.255 0 16.6275
"430" 247.698347 39.64148 0.0315 9456.294 0 16.4057
"327" 248.496318 40.884559 0.0316 9470.594 0 17.1497
"472" 247.245448 42.41968 0.0316 9475.69 0 15.743
"457" 246.35896 39.508135 0.0316 9481.866 0 15.9358
"109" 247.337531 40.562328 0.0316 9483.395 0 16.3976
"200" 246.035968 41.221085 0.0316 9486.812 0 17.1514
"6" 246.797199 40.906649 0.0317 9489.93 0 15.3163
"2" 246.948454 40.967038 0.0317 9490.29 0 16.5101
"354" 245.949426 41.954151 0.0317 9490.95 0 17.7962
"208" 247.526542 40.314731 0.0317 9491.129 0 15.8704
"90" 247.265239 40.604065 0.0317 9500.573 0 16.1809
"395" 247.130354 39.585265 0.0318 9520.209 0 17.8231
"27" 246.741624 40.798421 0.0318 9522.368 0 17.1806
"53" 247.114849 41.161 0.0318 9524.586 0 14.2096
"148" 246.435234 40.475615 0.0318 9537.507 0 14.5328
"107" 247.182266 40.49149 0.0318 9542.934 0 17.2521
"218" 247.247687 41.655179 0.0318 9547.161 0 16.7039
"343" 247.462682 39.766506 0.0319 9555.405 0 14.1138
"147" 247.630124 41.109804 0.0319 9563.799 0 16.7252
"453" 248.85497 40.92836 0.0319 9566.797 0 15.8213
"176" 247.778445 40.933065 0.0319 9567.157 0 15.6739
"243" 247.933781 40.426726 0.0319 9571.864 0 15.6678
"98" 247.251712 41.284276 0.0319 9575.761 0 13.5341
"250" 247.750601 40.247657 0.0319 9577.919 0 15.0178
"182" 246.816622 41.578379 0.032 9587.663 0 17.2667
"422" 245.11883 41.17927 0.032 9588.022 0 17.6163
"236" 247.685339 41.567539 0.032 9591.29 0 17.0048
"263" 246.23268 40.080342 0.032 9599.924 0 17.6209
"213" 247.48479 41.556757 0.032 9600.674 0 17.0369
"372" 247.509071 39.689623 0.0321 9620.31 0 17.7556
"120" 247.367216 40.547303 0.0321 9622.648 0 15.7354
"443" 245.731261 39.791629 0.0321 9627.475 0 13.5879
"483" 246.5802 39.393071 0.0321 9635.809 0 15.3668
"302" 247.278617 39.812931 0.0321 9637.278 0 16.2003
"272" 246.641844 39.895179 0.0322 9639.377 0 15.4169
"51" 246.952472 41.199754 0.0322 9641.805 0 16.9956
"89" 246.389378 41.013773 0.0322 9647.022 0 17.5495
"468" 247.763387 39.56219 0.0322 9648.131 0 14.5747
"382" 246.518598 39.628914 0.0322 9655.086 0 15.849
"322" 247.213394 39.755483 0.0323 9672.354 0 15.5493
"55" 247.173571 41.136999 0.0323 9684.376 0 14.1303
"429" 247.129656 39.523656 0.0323 9692.8 0 16.2433
"366" 245.818996 39.919843 0.0324 9702.273 0 13.1962
"28" 247.076013 40.784047 0.0324 9710.398 0 15.9954
"41" 247.041282 40.695562 0.0324 9711.117 0 14.5865
"228" 247.067033 40.115917 0.0324 9711.477 0 14.8269
"304" 247.24532 39.803063 0.0324 9714.805 0 15.1931
"344" 246.603995 42.123101 0.0325 9730.664 0 14.9889
"421" 247.14147 39.54889 0.0325 9731.503 0 15.8874
"203" 246.762186 41.661773 0.0325 9732.253 0 16.9724
"285" 248.158998 41.458547 0.0325 9733.152 0 16.772
"279" 245.963684 40.130883 0.0325 9733.662 0 14.2438
"332" 246.874343 39.720759 0.0325 9734.561 0 16.2765
"264" 246.559258 39.967175 0.0325 9738.038 0 14.1929
"445" 247.762264 39.623713 0.0325 9741.456 0 17.2127
"48" 246.943145 40.656492 0.0325 9744.514 0 16.5574
"328" 248.460627 40.659687 0.0325 9750.72 0 16.8005
"290" 246.66325 39.842169 0.0326 9758.994 0 17.602
"266" 246.439796 39.988491 0.0326 9765.829 0 17.2581
"242" 246.411143 40.098824 0.0326 9770.476 0 14.6712
"71" 246.922526 40.554465 0.0326 9770.686 0 17.3514
"274" 245.976661 40.143235 0.0326 9776.742 0 14.8456
"442" 247.146168 39.493015 0.0326 9781.628 0 16.074
"8" 246.80135 40.973664 0.0327 9789.903 0 17.3908
"79" 247.063057 40.557586 0.0327 9801.804 0 16.178
"306" 245.440146 41.181038 0.0327 9814.965 0 15.7486
"335" 246.932627 39.707905 0.0328 9818.323 0 17.4809
"180" 247.732461 41.152066 0.0328 9825.398 0 17.0325
"490" 247.100573 42.483411 0.0328 9826.297 0 16.7845
"362" 247.00356 39.626685 0.0328 9826.327 0 17.2994
"239" 246.380867 40.137219 0.0328 9832.023 0 15.2912
"94" 247.280306 40.590987 0.0328 9834.242 0 14.1976
"268" 246.93182 39.903662 0.0328 9842.396 0 15.6511
"5" 246.997057 40.968214 0.0329 9848.512 0 15.0985
"57" 247.296163 40.857417 0.0329 9855.347 0 14.5244
"256" 246.565504 40.008884 0.0329 9856.726 0 16.8192
"49" 246.970168 41.181063 0.0329 9857.356 0 17.3666
"168" 247.721062 40.802182 0.0329 9859.245 0 15.7832
"157" 246.966784 41.509755 0.0329 9863.981 0 17.0998
"10" 246.813726 40.992794 0.0329 9869.767 0 16.5122
"11" 246.831664 40.83172 0.0329 9869.887 0 17.5803
"59" 246.97876 40.606057 0.0329 9874.204 0 15.4271
"175" 246.916581 41.56442 0.0329 9875.403 0 17.7829
"407" 247.296786 39.587498 0.0329 9875.403 0 16.6981
"219" 245.918364 41.104522 0.033 9888.564 0 15.8225
"312" 246.269946 39.852325 0.033 9903.614 0 17.5771
"320" 247.261164 39.767684 0.033 9905.772 0 17.2605
"66" 247.026347 41.25084 0.033 9905.832 0 17.7085
"196" 247.130345 41.620257 0.0331 9919.743 0 17.1023
"133" 246.225689 41.050782 0.0331 9921.422 0 14.6648
"415" 245.300692 40.291199 0.0331 9922.471 0 16.4616
"465" 247.264578 39.447952 0.0331 9924.929 0 16.7264
"166" 247.058389 40.313849 0.0331 9932.034 0 14.1461
"160" 247.676289 41.100251 0.0332 9941.747 0 17.1594
"371" 245.550849 40.123023 0.0332 9942.947 0 15.7151
"63" 247.209185 40.669245 0.0332 9947.324 0 16.4737
"146" 246.220247 41.136409 0.0332 9954.998 0 16.9937
"138" 247.643992 40.990502 0.0332 9956.108 0 17.7296
"91" 247.245283 41.255286 0.0332 9959.315 0 15.7115
"386" 245.436126 40.204667 0.0332 9966.63 0 15.0374
"50" 247.164918 41.111043 0.0333 9977.273 0 14.1852
"181" 246.897259 40.2584 0.0333 9977.363 0 17.3407
"26" 247.153818 40.934263 0.0333 9981.26 0 16.8755
"393" 245.338709 40.309999 0.0333 9982.579 0 14.3483
"1" 246.920911 40.875423 0.0333 9984.738 0 14.9033
"18" 247.104689 40.858228 0.0333 9993.791 0 14.4813
"411" 247.278575 39.576284 0.0333 9995.47 0 17.6308
"17" 246.939946 41.072719 0.0333 9995.8 0 14.1969
"46" 246.903917 40.671055 0.0333 9997.269 0 14.6429
"402" 245.267288 40.389562 0.0333 9997.269 0 17.363
"191" 247.830891 41.002303 0.0334 10009.531 0 16.8117
"438" 245.027945 40.951657 0.0334 10009.531 0 16.4287
"391" 247.341611 39.620487 0.0334 10017.895 0 15.8934
"378" 246.916097 39.60071 0.0335 10035.822 0 17.4278
"123" 247.590464 40.913349 0.0335 10053.3 0 17.4602
"207" 245.94119 41.082334 0.0335 10055.639 0 15.2206
