"clusterID" "ra" "dec" "u" "g" "r" "i" "z" "zspec" "zerrx" "Vel" "Vel_err" "radp" "radmpc" "Voff" "Flag" "run" "camcol" "field" "DR12id" "DR12specObjID" "lgm_tot_p50" "sfr_tot_p50" "specsfr_tot_p50" "d4000_n"
"70" 1 10.603558 -9.20539 0 0 17.626 0 0 0.055536 0 16649.37 0 0.210388 0.811555 130.805 0 1740 5 92 "1237652948530233532" "737613459079849984" 9.904667 -1.425168 -11.38699 1.809635
"71" 1 10.428763 -9.104251 0 0 17.251 0 0 0.053388 0 16005.365 0 0.21172 0.816696 -513.2 0 1729 6 151 "1237652901826330753" "738679985123911680" 10.03404 -1.613919 -11.7006 1.688074
"72" 1 10.614165 -9.424648 0 0 16.9963 0 0 0.056736 0 17009.163 0 0.218512 0.842894 490.598 0 1666 5 262 "1237652630713794661" "737616757614733312" 10.27448 -1.701892 -12.03441 1.988444
"73" 1 10.571967 -9.47997 0 0 16.4648 0 0 0.052834 0 15839.265 0 0.220895 0.852084 -679.3 0 1666 5 261 "1237652630713729245" "737615932981012480" 9.971874 -0.7744819 -10.7914 1.4614
"74" 1 10.466301 -9.532907 0 0 16.6869 0 0 0.055854 0 16744.65 0 0.221373 0.85393 226.085 0 1666 5 261 "1237652630713729151" "738695653164607488" 10.39402 -1.484833 -11.92921 1.915707
"75" 1 10.396092 -9.093323 0 0 17.7111 0 0 0.05941 0 17810.715 0 0.224024 0.864157 1292.15 0 1729 6 151 "1237652901826330729" "738681359513446400" 9.96427 -0.9605271 -10.96906 1.837994
"76" 1 10.546041 -9.508399 0 0 16.4893 0 0 0.054748 0 16412.963 0 0.228082 0.879811 -105.602 0 1666 5 261 "1237652630713729224" "737617307370547200" 10.41118 -1.137102 -11.60577 1.894248
"77" 1 10.210066 -9.223122 0 0 16.4718 0 0 0.053964 0 16177.874 0 0.22889 0.882927 -340.69 0 1740 5 89 "1237652948530036867" "737598890550781952" 10.42294 -1.412177 -11.87263 1.910816
"78" 1 10.405188 -9.548182 0 0 16.628 0 0 0.059269 0 17768.336 0 0.232913 0.898443 1249.772 0 1740 4 91 "1237652947993296995" "738689330972747776" 10.39727 -1.408011 -11.84845 1.889017
"79" 1 10.663325 -9.335324 0 0 17.2047 0 0 0.053603 0 16069.904 0 0.238817 0.92122 -448.66 0 1666 5 262 "1237652630713794693" "737625828585662464" 10.03448 -1.446825 -11.53132 1.846397
